,logical_operation,text,text_index,lo_index
292,"('s3', 's9', 's6', 's4')",s9,292,1
293,"('s3', 's9', 's6', 's4')",s6,293,2
294,"('s3', 's9', 's6', 's4')",s4,294,3
295,"('s0', 's0', 's8', 's3')",s0,295,0
296,"('s0', 's0', 's8', 's3')",s0,296,1
297,"('s0', 's0', 's8', 's3')",s8,297,2
298,"('s0', 's0', 's8', 's3')",s3,298,3
299,"('s2', 's8', 's5')",s2,299,0
300,"('s2', 's8', 's5')",s8,300,1
301,"('s2', 's8', 's5')",s5,301,2
302,"('s3', 's9', 's6', 's4')",s3,302,0
303,"('s3', 's9', 's6', 's4')",s9,303,1
304,"('s3', 's9', 's6', 's4')",s6,304,2
305,"('s3', 's9', 's6', 's4')",s4,305,3
306,"('s0', 's0', 's8', 's3')",s0,306,0
307,"('s0', 's0', 's8', 's3')",s0,307,1
308,"('s0', 's0', 's8', 's3')",s8,308,2
309,"('s0', 's0', 's8', 's3')",s3,309,3
310,"('s0', 's0', 's8', 's3')",s0,310,0
311,"('s0', 's0', 's8', 's3')",s0,311,1
312,"('s0', 's0', 's8', 's3')",s8,312,2
313,"('s0', 's0', 's8', 's3')",s3,313,3
314,"('s5', 's7', 's4', 's9', 's8')",s5,314,0
315,"('s5', 's7', 's4', 's9', 's8')",s7,315,1
316,"('s5', 's7', 's4', 's9', 's8')",s4,316,2
317,"('s5', 's7', 's4', 's9', 's8')",s9,317,3
318,"('s5', 's7', 's4', 's9', 's8')",s8,318,4
319,"('s0', 's0', 's8', 's3')",s0,319,0
320,"('s0', 's0', 's8', 's3')",s0,320,1
321,"('s0', 's0', 's8', 's3')",s8,321,2
322,"('s0', 's0', 's8', 's3')",s3,322,3
323,"('s5', 's7', 's4', 's9', 's8')",s5,323,0
324,"('s5', 's7', 's4', 's9', 's8')",s7,324,1
325,"('s5', 's7', 's4', 's9', 's8')",s4,325,2
326,"('s5', 's7', 's4', 's9', 's8')",s9,326,3
327,"('s5', 's7', 's4', 's9', 's8')",s8,327,4
328,"('s3', 's9', 's6', 's4')",s3,328,0
329,"('s3', 's9', 's6', 's4')",s9,329,1
330,"('s3', 's9', 's6', 's4')",s6,330,2
331,"('s3', 's9', 's6', 's4')",s4,331,3
332,"('s5', 's7', 's4', 's9', 's8')",s5,332,0
333,"('s5', 's7', 's4', 's9', 's8')",s7,333,1
334,"('s5', 's7', 's4', 's9', 's8')",s4,334,2
335,"('s5', 's7', 's4', 's9', 's8')",s9,335,3
336,"('s5', 's7', 's4', 's9', 's8')",s8,336,4
337,"('s2', 's8', 's5')",s2,337,0
338,"('s2', 's8', 's5')",s8,338,1
339,"('s2', 's8', 's5')",s5,339,2
340,"('s7', 's3', 's4', 's1')",s7,340,0
341,"('s7', 's3', 's4', 's1')",s3,341,1
342,"('s7', 's3', 's4', 's1')",s4,342,2
343,"('s7', 's3', 's4', 's1')",s1,343,3
344,"('s2', 's8', 's5')",s2,344,0
345,"('s2', 's8', 's5')",s8,345,1
346,"('s2', 's8', 's5')",s5,346,2
347,"('s5', 's7', 's4', 's9', 's8')",s5,347,0
348,"('s5', 's7', 's4', 's9', 's8')",s7,348,1
349,"('s5', 's7', 's4', 's9', 's8')",s4,349,2
350,"('s5', 's7', 's4', 's9', 's8')",s9,350,3
351,"('s5', 's7', 's4', 's9', 's8')",s8,351,4
352,"('s5', 's7', 's4', 's9', 's8')",s5,352,0
353,"('s5', 's7', 's4', 's9', 's8')",s7,353,1
354,"('s5', 's7', 's4', 's9', 's8')",s4,354,2
355,"('s5', 's7', 's4', 's9', 's8')",s9,355,3
356,"('s5', 's7', 's4', 's9', 's8')",s8,356,4
357,"('s2', 's8', 's5')",s2,357,0
358,"('s2', 's8', 's5')",s8,358,1
359,"('s2', 's8', 's5')",s5,359,2
360,"('s3', 's9', 's6', 's4')",s3,360,0
361,"('s3', 's9', 's6', 's4')",s9,361,1
362,"('s3', 's9', 's6', 's4')",s6,362,2
363,"('s3', 's9', 's6', 's4')",s4,363,3
364,"('s7', 's3', 's4', 's1')",s7,364,0
365,"('s7', 's3', 's4', 's1')",s3,365,1
366,"('s7', 's3', 's4', 's1')",s4,366,2
367,"('s7', 's3', 's4', 's1')",s1,367,3
368,"('s0', 's0', 's8', 's3')",s0,368,0
369,"('s0', 's0', 's8', 's3')",s0,369,1
370,"('s0', 's0', 's8', 's3')",s8,370,2
371,"('s0', 's0', 's8', 's3')",s3,371,3
372,"('s0', 's0', 's8', 's3')",s0,372,0
373,"('s0', 's0', 's8', 's3')",s0,373,1
374,"('s0', 's0', 's8', 's3')",s8,374,2
375,"('s0', 's0', 's8', 's3')",s3,375,3
376,"('s5', 's7', 's4', 's9', 's8')",s5,376,0
377,"('s5', 's7', 's4', 's9', 's8')",s7,377,1
378,"('s5', 's7', 's4', 's9', 's8')",s4,378,2
379,"('s5', 's7', 's4', 's9', 's8')",s9,379,3
380,"('s5', 's7', 's4', 's9', 's8')",s8,380,4
381,"('s7', 's3', 's4', 's1')",s7,381,0
382,"('s7', 's3', 's4', 's1')",s3,382,1
383,"('s7', 's3', 's4', 's1')",s4,383,2
384,"('s7', 's3', 's4', 's1')",s1,384,3
385,"('s2', 's8', 's5')",s2,385,0
386,"('s2', 's8', 's5')",s8,386,1
387,"('s2', 's8', 's5')",s5,387,2
388,"('s7', 's3', 's4', 's1')",s7,388,0
389,"('s7', 's3', 's4', 's1')",s3,389,1
390,"('s7', 's3', 's4', 's1')",s4,390,2
391,"('s7', 's3', 's4', 's1')",s1,391,3
392,"('s0', 's0', 's8', 's3')",s0,392,0
393,"('s0', 's0', 's8', 's3')",s0,393,1
394,"('s0', 's0', 's8', 's3')",s8,394,2
395,"('s0', 's0', 's8', 's3')",s3,395,3
396,"('s5', 's7', 's4', 's9', 's8')",s5,396,0
397,"('s5', 's7', 's4', 's9', 's8')",s7,397,1
398,"('s5', 's7', 's4', 's9', 's8')",s4,398,2
399,"('s5', 's7', 's4', 's9', 's8')",s9,399,3
400,"('s5', 's7', 's4', 's9', 's8')",s8,400,4
401,"('s0', 's0', 's8', 's3')",s0,401,0
402,"('s0', 's0', 's8', 's3')",s0,402,1
403,"('s0', 's0', 's8', 's3')",s8,403,2
404,"('s0', 's0', 's8', 's3')",s3,404,3
405,"('s3', 's9', 's6', 's4')",s3,405,0
406,"('s3', 's9', 's6', 's4')",s9,406,1
407,"('s3', 's9', 's6', 's4')",s6,407,2
408,"('s3', 's9', 's6', 's4')",s4,408,3
409,"('s5', 's7', 's4', 's9', 's8')",s5,409,0
410,"('s5', 's7', 's4', 's9', 's8')",s7,410,1
411,"('s5', 's7', 's4', 's9', 's8')",s4,411,2
412,"('s5', 's7', 's4', 's9', 's8')",s9,412,3
413,"('s5', 's7', 's4', 's9', 's8')",s8,413,4
414,"('s0', 's0', 's8', 's3')",s0,414,0
415,"('s0', 's0', 's8', 's3')",s0,415,1
416,"('s0', 's0', 's8', 's3')",s8,416,2
417,"('s0', 's0', 's8', 's3')",s3,417,3
418,"('s3', 's9', 's6', 's4')",s3,418,0
419,"('s3', 's9', 's6', 's4')",s9,419,1
420,"('s3', 's9', 's6', 's4')",s6,420,2
421,"('s3', 's9', 's6', 's4')",s4,421,3
422,"('s2', 's8', 's5')",s2,422,0
423,"('s2', 's8', 's5')",s8,423,1
424,"('s2', 's8', 's5')",s5,424,2
425,"('s3', 's9', 's6', 's4')",s3,425,0
426,"('s3', 's9', 's6', 's4')",s9,426,1
427,"('s3', 's9', 's6', 's4')",s6,427,2
428,"('s3', 's9', 's6', 's4')",s4,428,3
429,"('s0', 's0', 's8', 's3')",s0,429,0
430,"('s0', 's0', 's8', 's3')",s0,430,1
431,"('s0', 's0', 's8', 's3')",s8,431,2
432,"('s0', 's0', 's8', 's3')",s3,432,3
433,"('s5', 's7', 's4', 's9', 's8')",s5,433,0
434,"('s5', 's7', 's4', 's9', 's8')",s7,434,1
435,"('s5', 's7', 's4', 's9', 's8')",s4,435,2
436,"('s5', 's7', 's4', 's9', 's8')",s9,436,3
437,"('s5', 's7', 's4', 's9', 's8')",s8,437,4
438,"('s3', 's9', 's6', 's4')",s3,438,0
439,"('s3', 's9', 's6', 's4')",s9,439,1
440,"('s3', 's9', 's6', 's4')",s6,440,2
441,"('s3', 's9', 's6', 's4')",s4,441,3
442,"('s2', 's8', 's5')",s2,442,0
443,"('s2', 's8', 's5')",s8,443,1
444,"('s2', 's8', 's5')",s5,444,2
445,"('s3', 's9', 's6', 's4')",s3,445,0
446,"('s3', 's9', 's6', 's4')",s9,446,1
447,"('s3', 's9', 's6', 's4')",s6,447,2
448,"('s3', 's9', 's6', 's4')",s4,448,3
449,"('s5', 's7', 's4', 's9', 's8')",s5,449,0
450,"('s5', 's7', 's4', 's9', 's8')",s7,450,1
451,"('s5', 's7', 's4', 's9', 's8')",s4,451,2
452,"('s5', 's7', 's4', 's9', 's8')",s9,452,3
453,"('s5', 's7', 's4', 's9', 's8')",s8,453,4
454,"('s2', 's8', 's5')",s2,454,0
455,"('s2', 's8', 's5')",s8,455,1
456,"('s2', 's8', 's5')",s5,456,2
457,"('s5', 's7', 's4', 's9', 's8')",s5,457,0
458,"('s5', 's7', 's4', 's9', 's8')",s7,458,1
459,"('s5', 's7', 's4', 's9', 's8')",s4,459,2
460,"('s5', 's7', 's4', 's9', 's8')",s9,460,3
461,"('s5', 's7', 's4', 's9', 's8')",s8,461,4
462,"('s3', 's9', 's6', 's4')",s3,462,0
463,"('s3', 's9', 's6', 's4')",s9,463,1
464,"('s3', 's9', 's6', 's4')",s6,464,2
465,"('s3', 's9', 's6', 's4')",s4,465,3
466,"('s2', 's8', 's5')",s2,466,0
467,"('s2', 's8', 's5')",s8,467,1
468,"('s2', 's8', 's5')",s5,468,2
469,"('s5', 's7', 's4', 's9', 's8')",s5,469,0
470,"('s5', 's7', 's4', 's9', 's8')",s7,470,1
471,"('s5', 's7', 's4', 's9', 's8')",s4,471,2
472,"('s5', 's7', 's4', 's9', 's8')",s9,472,3
473,"('s5', 's7', 's4', 's9', 's8')",s8,473,4
474,"('s0', 's0', 's8', 's3')",s0,474,0
475,"('s0', 's0', 's8', 's3')",s0,475,1
476,"('s0', 's0', 's8', 's3')",s8,476,2
477,"('s0', 's0', 's8', 's3')",s3,477,3
478,"('s5', 's7', 's4', 's9', 's8')",s5,478,0
479,"('s5', 's7', 's4', 's9', 's8')",s7,479,1
480,"('s5', 's7', 's4', 's9', 's8')",s4,480,2
481,"('s5', 's7', 's4', 's9', 's8')",s9,481,3
482,"('s5', 's7', 's4', 's9', 's8')",s8,482,4
483,"('s3', 's9', 's6', 's4')",s3,483,0
484,"('s3', 's9', 's6', 's4')",s9,484,1
485,"('s3', 's9', 's6', 's4')",s6,485,2
486,"('s3', 's9', 's6', 's4')",s4,486,3
487,"('s0', 's0', 's8', 's3')",s0,487,0
488,"('s0', 's0', 's8', 's3')",s0,488,1
489,"('s0', 's0', 's8', 's3')",s8,489,2
490,"('s0', 's0', 's8', 's3')",s3,490,3
491,"('s0', 's0', 's8', 's3')",s0,491,0
492,"('s0', 's0', 's8', 's3')",s0,492,1
493,"('s0', 's0', 's8', 's3')",s8,493,2
494,"('s0', 's0', 's8', 's3')",s3,494,3
495,"('s0', 's0', 's8', 's3')",s0,495,0
496,"('s0', 's0', 's8', 's3')",s0,496,1
497,"('s0', 's0', 's8', 's3')",s8,497,2
498,"('s0', 's0', 's8', 's3')",s3,498,3
499,"('s3', 's9', 's6', 's4')",s3,499,0
500,"('s3', 's9', 's6', 's4')",s9,500,1
501,"('s3', 's9', 's6', 's4')",s6,501,2
502,"('s3', 's9', 's6', 's4')",s4,502,3
